name,price,rr,brand,orignal_price,discount
EvolveRun M Running Shoes For Men,"₹2,819",,ADIDAS,"₹5,999",53% off
Premium Oxyfit Casual Shoes Slip On Sneakers For Men,₹449,,BIRDE,"₹1,999",77% off
GALAXY Q Running Shoes For Men,"₹2,349",,ADIDAS,"₹4,999",53% off
Exclusive Affordable Collection of Trendy & Stylish Cas...,₹249,,World Wear Footwear,"₹1,490",83% off
Combo Pack Of 5 Casual Shoes Canvas Shoes For Men,₹699,,BRUTON,"₹3,780",81% off
Exclusive Affordable Collection of Trendy & Stylish Cas...,₹229,,World Wear Footwear,"₹1,490",84% off
Trendy Men Sports Running Running Shoes For Men,₹249,,BRUTON,"₹1,299",80% off
HURRICANE Running Shoes For Men,₹829,,CAMPUS,"₹1,299",36% off
Combo Pack Of 4 Casual Shoes Loafer Shoes Sneakers For ...,₹499,,BRUTON,"₹3,635",86% off
Sneakers For Men,₹579,,RapidBox,₹999,42% off
Stylish & Trending Outdoor Walking Comfortable Sneakers...,₹429,,WHITE WALKERS,"₹1,499",71% off
Exclusive Affordable Collection of Trendy & Stylish Spo...,₹299,,World Wear Footwear,"₹1,800",83% off
Walking Shoes For Women,₹399,,Zapatoz,₹999,60% off
Running Shoes For Men,₹499,,density,"₹1,299",61% off
FIRST Running Shoes For Men,"₹1,329",,CAMPUS,"₹1,799",26% off
Running Shoes For Men,"₹1,099",,asian,"₹1,999",45% off
Airsocks-12 sports shoes for men | Latest Stylish Casua...,₹549,,asian,"₹1,499",63% off
Glowrun Reflective M Running Shoes For Men,"₹2,015",,ADIDAS,"₹4,799",58% off
Combo Pack of 2 Sports Shoes Running Shoes For Men Runn...,₹499,,BRUTON,"₹2,499",80% off
CAMP KRIPTO Running Shoes For Men,"₹1,332",,CAMPUS,"₹1,699",21% off
Premium Sports Shoes for Women Walking Shoes For Women,₹349,,BIRDE,₹999,65% off
UP Sneakers For Men,"₹1,999",,PUMA,"₹3,999",50% off
"Cosko Sports Shoes,Running Shoes,Walking Shoes,Training...",₹539,,asian,₹999,46% off
WATERPROOF-05cFULLBLACK Sneakers For Men,₹599,,asian,₹999,40% off
Sneakers For Men,₹579,,RapidBox,₹999,42% off
Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹449,,aadi,"₹1,999",77% off
Modern Trendy Sneakers Shoes Sneakers For Men,₹299,,BRUTON,"₹1,299",76% off
Premium Ankle Length Black Denim Boots Boots For Men,₹499,,Arivo,"₹2,499",80% off
Trendy Sports Running Running Shoes For Men,₹299,,BRUTON,"₹1,299",76% off
Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,₹299,,aadi,₹999,70% off
Glowrun Reflective M Running Shoes For Men,"₹2,015",,ADIDAS,"₹4,799",58% off
Combo Pack of 2 Sports Shoes Sneakers For Men,₹499,,BIRDE,"₹1,498",66% off
Stylish Sneakers Shoes for Women And Girls Sneakers For...,₹445,,Shozie,₹999,55% off
Stylish & Trending Outdoor Walking Comfortable Sneakers...,₹429,,WHITE WALKERS,"₹1,499",71% off
Modern Trendy Sneakers Shoes Sneakers For Men,₹299,,BRUTON,"₹1,299",76% off
Combo Pack Of 2 Casual Shoes Sneakers For Men Sneakers ...,₹499,,BRUTON,"₹2,499",80% off
Newton-01 Men's Lightweight Running Shoes Sneakers For ...,₹509,,asian,"₹1,299",60% off
Combo Pack Of 2 Latest Stylish Lace up lightweight High...,₹449,,Nobelite,"₹1,998",77% off
shoes Walking Shoes For Men,₹399,,WAAN,"₹1,999",80% off
"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹419,,aadi,"₹1,999",79% off
Fire run Running Shoes For Men,"₹1,295",,PUMA,"₹2,999",56% off
STREET ICON M Running Shoes For Men,"₹1,785",,ADIDAS,"₹3,799",53% off
OXYFIT (N) Casuals For Men,₹557,,CAMPUS,₹999,44% off
Slip On Sneakers For Men,₹299,,SUKUN,₹999,70% off
Combo Pack Of 5 Casual Shoes Canvas Shoes For Men,₹699,,BRUTON,"₹3,780",81% off
Exclusive Affordable Collection of Trendy & Stylish Cas...,₹229,,World Wear Footwear,"₹1,490",84% off
Running Shoes For Men,₹625,,WROGN ACTIVE,"₹2,499",74% off
Casual Loafers For Men,₹293,,AJANTA,₹699,58% off
Combo Pack Of 4 Casual Shoes Loafer Shoes Sneakers For ...,₹499,,BRUTON,"₹3,635",86% off
Sneakers For Men,₹579,,RapidBox,₹999,42% off
Walking Shoes For Men,"₹1,165",,RED TAPE,"₹5,299",78% off
Durable and Comfortable Running Shoes Sneakers For Men,₹269,,AAKA style,₹999,73% off
Premium Sports Shoes for Women Walking Shoes For Women,₹349,,BIRDE,₹999,65% off
Running Shoes For Men,₹524,,asian,₹999,47% off
FIRST Running Shoes For Men,"₹1,329",,CAMPUS,"₹1,799",26% off
Running Shoes For Men,"₹1,099",,asian,"₹1,999",45% off
Ultralightweight | Comfortable | Breathable Walking | O...,₹299,,aadi,₹999,70% off
UP Sneakers For Men,"₹1,999",,PUMA,"₹3,999",50% off
Combo Pack of 2 Sports Shoes Running Shoes For Men Runn...,₹499,,BRUTON,"₹2,499",80% off
CAMP KRIPTO Running Shoes For Men,"₹1,332",,CAMPUS,"₹1,699",21% off
STREET-RUN Running Shoes For Men,"₹1,329",,CAMPUS,"₹1,799",26% off
Slip On For Men,₹296,,AJANTA,₹299,1% off
Sporty And Good Looking NavyBlue & Silver Running Shoes...,₹714,,Sparx,"₹1,299",45% off
SD9039G Casuals For Men,₹549,,Sparx,₹999,45% off
Sneakers For Men,₹579,,RapidBox,₹999,42% off
Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹449,,aadi,"₹1,999",77% off
CyberRun M Running Shoes For Men,"₹2,020",,ADIDAS,"₹4,299",53% off
Energy Runner 3.0 M Running Shoes For Men,"₹1,247",,REEBOK,"₹2,599",52% off
Trendy Sports Running Running Shoes For Men,₹299,,BRUTON,"₹1,299",76% off
