name,price,rr
"realme C30s (Stripe Blue, 32 GB)","₹6,999","5,360 Ratings & 187 Reviews"
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹18,499","1,81,956 Ratings & 14,190 Reviews"
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹13,490","2,328 Ratings & 207 Reviews"
"REDMI Note 12 (Ice Blue, 64 GB)","₹14,999","1,779 Ratings & 158 Reviews"
"MOTOROLA e13 (Cosmic Black, 64 GB)","₹6,999","2,105 Ratings & 194 Reviews"
"POCO X5 Pro 5G (Astral Black, 256 GB)","₹24,999","5,010 Ratings & 557 Reviews"
Nokia 125 DS 2020,"₹2,225","6,311 Ratings & 413 Reviews"
"SAMSUNG Galaxy A03 Core (Onyx, 32 GB)","₹6,574","3,265 Ratings & 271 Reviews"
"POCO X5 Pro 5G (Astral Black, 128 GB)","₹22,999","5,332 Ratings & 619 Reviews"
GFive U873,₹749,"9,213 Ratings & 788 Reviews"
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹18,499","1,81,956 Ratings & 14,190 Reviews"
Micromax X512,"₹1,053",111 Ratings & 4 Reviews
"MOTOROLA g73 5G (Midnight Blue, 128 GB)","₹16,999","6,747 Ratings & 1,016 Reviews"
"Infinix Smart 6 (Starry Purple, 64 GB)","₹6,999","31,799 Ratings & 2,165 Reviews"
"POCO M5 (Power Black, 64 GB)","₹9,749","3,751 Ratings & 279 Reviews"
LAVA Hero 600i,₹899,499 Ratings & 32 Reviews
"Infinix Hot 12 (Exploratory Blue, 64 GB)","₹8,999","25,339 Ratings & 1,739 Reviews"
"Infinix Hot 12 (Turquoise Cyan, 64 GB)","₹8,999","25,339 Ratings & 1,739 Reviews"
"Infinix Hot 12 (7° Purple, 64 GB)","₹8,999","25,339 Ratings & 1,739 Reviews"
"Infinix Hot 12 (Polar Black, 64 GB)","₹8,999","25,339 Ratings & 1,739 Reviews"
"realme C35 (Glowing Green, 64 GB)","₹10,999","1,82,031 Ratings & 10,208 Reviews"
SAMSUNG Guru Music 2,"₹2,049","2,03,042 Ratings & 18,664 Reviews"
"realme C35 (Glowing Green, 128 GB)","₹12,999","16,365 Ratings & 993 Reviews"
"REDMI A1 (Light Green, 32 GB)","₹6,230","6,445 Ratings & 322 Reviews"
MarQ by Flipkart M70 Shakti,"₹1,599","3,754 Ratings & 462 Reviews"
"REDMI 10 Power (Sporty Orange, 128 GB)","₹11,489","2,303 Ratings & 119 Reviews"
"realme 8 (Cyber Silver, 128 GB)","₹13,999","1,22,203 Ratings & 9,984 Reviews"
"realme 8 (Cyber Black, 128 GB)","₹13,999","1,22,203 Ratings & 9,984 Reviews"
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","₹21,935","5,244 Ratings & 435 Reviews"
"realme 8 5G (Supersonic Black, 128 GB)","₹18,499","70,238 Ratings & 5,721 Reviews"
"Realme C30 - Locked with Airtel Prepaid (Bamboo Green, 32 GB)","₹6,049","47,755 Ratings & 3,011 Reviews"
"REDMI 10A (Sea Blue, 64 GB)","₹8,599","8,657 Ratings & 470 Reviews"
"REDMI 10A (Charcoal Black, 64 GB)","₹8,349","8,657 Ratings & 470 Reviews"
"REDMI 10A (Sea Blue, 32 GB)","₹7,990","2,317 Ratings & 149 Reviews"
"REDMI 10A (Slate grey, 64 GB)","₹8,605","8,657 Ratings & 470 Reviews"
"realme 8 5G (Supersonic Black, 64 GB)","₹15,499","76,449 Ratings & 6,034 Reviews"
"realme C35 (Glowing Green, 128 GB)","₹11,999","1,82,031 Ratings & 10,208 Reviews"
SAMSUNG GURU MUSIC 2,"₹2,067","3,770 Ratings & 295 Reviews"
"REDMI 10A (Slate Grey, 32 GB)","₹7,499","2,317 Ratings & 149 Reviews"
PHILIPS Xenium E209,"₹1,217",708 Ratings & 76 Reviews
"MOTOROLA g73 5G (Midnight Blue, 128 GB)","₹16,999","6,747 Ratings & 1,016 Reviews"
"MOTOROLA g73 5G (Lucent White, 128 GB)","₹16,999","6,747 Ratings & 1,016 Reviews"
Cellecor E3,"₹1,061",53 Ratings & 2 Reviews
"REDMI Note 12 Pro 5G (Stardust Purple, 128 GB)","₹24,999","17,151 Ratings & 1,749 Reviews"
"realme 9i 5G (Soulful Blue, 128 GB)","₹16,999","7,190 Ratings & 506 Reviews"
Nokia 105 TA-1416 DS,"₹1,449","5,627 Ratings & 387 Reviews"
LAVA A1,"₹1,169","1,08,452 Ratings & 11,450 Reviews"
"Infinix Note 12 Pro 5G (Force Black, 128 GB)","₹16,999","24,168 Ratings & 2,868 Reviews"
"MOTOROLA g22 (Cosmic Black, 64 GB)","₹9,999","32,733 Ratings & 3,698 Reviews"
"realme 9i 5G (Rocking Black, 64 GB)","₹14,999","45,620 Ratings & 2,211 Reviews"
"POCO X5 5G (Supernova Green, 256 GB)","₹17,999","1,015 Ratings & 75 Reviews"
LAVA Gem,"₹1,749","8,652 Ratings & 766 Reviews"
