name,price,rr,brand,orignal_price,discount
Women Solid Quilted Jacket,"₹1,979",,Wildcraft,"₹4,199",52% off
Women Solid Bomber Jacket,₹932,,Breil By Fort Collins,"₹2,099",55% off
Women Washed Denim Jacket,₹309,,FitMiss,₹999,69% off
Women Solid Quilted Jacket,"₹1,252",,Breil By Fort Collins,"₹2,499",49% off
Men Solid Sports Jacket,"₹1,763",,HRX by Hrithik Roshan,"₹3,599",51% off
Men Solid Jacket,"₹1,539",,HERE&NOW,"₹3,499",56% off
Men Solid Padded Jacket,"₹1,049",,Roadster,"₹3,599",70% off
Men Solid Casual Jacket,"₹2,989",,WROGN,"₹4,599",35% off
Men Solid Biker/Riding Jacket,"₹3,067",,WROGN,"₹5,199",41% off
Men Solid Casual Jacket,"₹2,536",,WROGN,"₹4,299",41% off
Men Solid Casual Jacket,₹699,,SINGLE By Ranbir Kapoor,"₹3,499",80% off
Men Colorblock Padded Jacket,"₹1,260",,HRX by Hrithik Roshan,"₹3,599",64% off
Men Applique Denim Jacket,"₹1,094",,VOXATI,"₹2,599",57% off
Men Printed Sports Jacket,"₹2,999",,PUMA,"₹4,999",40% off
Men Solid Casual Jacket,"₹1,199",,XYXX,"₹1,599",25% off
Men Solid Biker/Riding Jacket,"₹2,949",,WROGN,"₹4,999",41% off
Women Self Design Denim Jacket,₹294,,Shiv Attire,₹999,70% off
Women Solid Denim Jacket,₹309,,sarvayoni,"₹1,199",74% off
Women Solid Denim Jacket,₹329,,KASHIAN,₹699,52% off
Men Solid Denim Jacket,"₹2,393",,WROGN,"₹3,799",37% off
Men Solid Casual Jacket,₹495,,FUBAR,"₹1,699",70% off
Men Solid Puffer Jacket,"₹1,008",,Roadster,"₹3,599",71% off
Men Solid Casual Jacket,"₹1,799",,BEING HUMAN,"₹5,999",70% off
Men Striped Sports Jacket,₹858,,HERE&NOW,"₹2,599",66% off
Women Solid Denim Jacket,₹329,,KASHIAN,₹699,52% off
Women Solid Denim Jacket,₹799,,FUNDAY FASHION,"₹1,699",52% off
Women Solid Denim Jacket,₹449,,KOTTY,"₹2,999",85% off
Women Self Design Denim Casual Jacket,₹449,,KOTTY,"₹2,999",85% off
Men Solid Biker/Riding Jacket,"₹2,949",,WROGN,"₹4,999",41% off
Men Solid Sports Jacket,₹421,,GLITO,"₹1,399",69% off
Women Solid Casual Jacket,₹664,,Roadster,"₹1,999",66% off
Women Colorblock Varsity Jacket,₹441,,insha collection,"₹1,500",70% off
Boys Self Design Leather Jacket,"₹1,436",,Tricycle Clothing,"₹2,999",52% off
Women Washed Jacket,₹791,,Tokyo Talkies,"₹2,549",68% off
Men Solid Casual Jacket,₹896,,Ryker,"₹2,499",64% off
Men Solid Jacket,"₹1,539",,HERE&NOW,"₹3,499",56% off
Men Solid Casual Jacket,₹729,,Billion,"₹3,499",79% off
Men Washed Jacket,₹979,,HIGHLANDER,"₹2,449",60% off
Men Solid Bomber Jacket,"₹2,831",,WROGN,"₹4,799",41% off
Men Solid Padded Jacket,"₹1,325",,INVICTUS,"₹3,899",66% off
Men Solid Casual Jacket,"₹1,499",,KILLER,"₹4,999",70% off
Men Solid Casual Jacket,₹700,,Roadster,"₹1,999",64% off
Men Solid Casual Jacket,₹478,,GLITO,"₹1,399",65% off
Men Solid Puffer Jacket,"₹1,415",,Hubberholme,"₹5,899",76% off
Men Textured Leather Jacket,"₹2,943",,WROGN,"₹4,599",36% off
Men Solid Bomber Jacket,"₹3,219",,WROGN,"₹4,599",30% off
Women Solid Casual Jacket,₹651,,Tokyo Talkies,"₹2,099",68% off
Women Solid Parka Jacket,"₹1,274",,Breil By Fort Collins,"₹2,499",49% off
Men Solid Padded Jacket,₹686,,Ryker,"₹1,599",57% off
Men Solid Casual Jacket,₹499,,KZALCON,"₹2,499",80% off
Boys Solid Denim Jacket,₹325,,LEETOS,"₹1,299",74% off
Women Solid Quilted Jacket,"₹1,276",,Roadster,"₹3,499",63% off
Boys & Girls Solid Casual Jacket,₹807,,NICK AND JONES,"₹1,499",46% off
Womens faux leather jacket Women Solid Biker/Riding Jac...,"₹1,449",,Dazeel,"₹3,999",63% off
Men Solid Jacket,"₹2,241",,WROGN,"₹3,799",41% off
Men Colorblock Casual Jacket,₹768,,Ryker,"₹2,499",69% off
Men Solid Sports Jacket,"₹1,199",,PUMA,"₹3,999",70% off
Men Colorblock Puffer Jacket,"₹1,155",,Roadster,"₹3,499",66% off
Women's Collared Full Sleeves Regular Fit Solid/Plain D...,₹309,,PWTI,"₹1,599",80% off
Women Solid Denim Jacket,₹309,,PWTI,"₹1,499",79% off
Women Solid Sports Jacket,₹836,,PROWL,"₹3,399",75% off
