name,price,rr,brand,orignal_price,discount
Small 10 L Backpack SCHOOL/COLLEGE/OFFICE SMART BACKPAC...,₹299,,Straplt,₹899,66% off
Small 20 L Backpack SMALL 20 L DAYPACK BAGPACK FOR DAIL...,₹286,,PLEXY,"₹1,499",80% off
Medium 26 L Backpack Brute,₹729,,SAFARI,"₹2,599",71% off
Large 35 L Backpack 35L spacy bagpack 4th to 10th class...,₹599,,xfast,"₹1,899",68% off
Large 37 L Backpack Heritage - 3 Compartment Casual Tra...,₹799,,Lunar,"₹1,699",52% off
Small 20 L Backpack Evon Essential Laptop Black Backpac...,"₹1,049",,HP,"₹1,200",12% off
Medium 30 L Backpack Faber,"₹1,339",,Wildcraft,"₹2,999",55% off
Medium 23 L Backpack Boho 01 With Raincover,"₹1,699",,SKYBAGS,"₹2,800",39% off
Small 17 L Backpack Zeal,₹879,,Wildcraft,"₹1,799",51% off
Medium 29 L Backpack Strike 02,"₹1,147",,SKYBAGS,"₹3,100",63% off
Large 35 L Backpack V Line - 3 Compartment College | Sc...,₹799,,Lunar,"₹1,799",55% off
Small 12 L Backpack Amari Web Marine Black,₹719,,F GEAR,"₹1,198",39% off
Small 10 L Backpack eens School Backpack | College/Scho...,₹349,,Cluci,"₹1,199",70% off
Large 44 L Laptop Backpack 44 Laptop backpack outdoor h...,₹359,,SKY RISE,"₹1,699",78% off
Medium 25 L Backpack DAYPACK Bags Backpack 25L Provogue...,₹272,,familiar,₹999,72% off
23.5 L Backpack FIND,₹799,,SAFARI,"₹1,958",59% off
26.5 L Backpack HS RIDGE BACKPACK NL 01 - BLUE,₹739,,High Sierra by American Tourister,"₹1,598",53% off
Large 31 L Backpack Polyester31L Disney Marvel 01 Schoo...,"₹1,990",,SKYBAGS,"₹2,500",20% off
Large 32 L Backpack KEEP IT REAL,₹852,,Gear,"₹1,499",43% off
Medium 25 L Backpack 25ltr Laptop Backpack Spacy unisex...,₹599,,parjuar,"₹1,499",60% off
Large 41 L Laptop Backpack Spacy Unisex Bag with rain c...,₹739,,PROVOGUE,"₹4,499",83% off
18.5 L Backpack PIONEER I I,₹899,,PUMA,"₹1,199",25% off
Large 34 L Backpack One Spacious Unisex Multpurpose bag...,₹959,,PUMA,"₹2,699",64% off
Small 10 L Backpack RAGER 10L DAYPACK BLACK,₹489,,SKYBAGS,"₹1,120",56% off
Medium 26 L Backpack Burner V2,₹899,,F GEAR,"₹1,675",46% off
Small 10 L Laptop Backpack Bts Small 10L Bagpack Of Sch...,₹285,,NEWNOVO,₹999,71% off
Small 20 L Backpack Polyester20L Bonbon Star Backpack M...,₹935,,SKYBAGS,"₹2,050",54% off
Medium 25 L Laptop Backpack for Office/College/School/T...,₹431,,TRAVEL POINT,"₹2,999",85% off
41.5 L Laptop Backpack Spacy Freeride Unisex Bag with r...,₹739,,PROVOGUE,"₹4,499",83% off
Medium 30 L Laptop Backpack Hrithik Roshan Unisex Black...,₹699,,HRX,"₹2,499",72% off
Small 20 L Backpack Entry Level Backpack Black for Up t...,₹404,,HP,₹999,59% off
Medium 30 L Laptop Backpack Backpack For College School...,₹419,,WROGN,"₹2,999",86% off
Large 35 L Backpack Comet 3,₹849,,Lunar,"₹1,699",50% off
Medium 26 L Backpack COSMIC BACKPACK (E) TEAL,₹799,,ARISTOCRAT,"₹2,290",65% off
Small 10 L Backpack college causal bag styish stuff qua...,₹359,,RIGHT CHOICE,"₹1,999",82% off
Medium 25 L Laptop Backpack Ultra Lightweight,₹369,,BRIVER,"₹1,199",69% off
Large 36 L Backpack DRIP NXT 03 WITH DRAWSTRING POUCH B...,"₹1,474",,SKYBAGS,"₹2,500",41% off
Medium 25 L Backpack BOMBER ECO STATEMENT 2C,₹634,,Gear,"₹1,999",68% off
